Abkhazia_Late_Modern_Tkhina_(Chari_River_Profile)_(n=1),-0.586189,0.063978,0.015839,-0.002907,0.000308,0.002789,-0.028436,0.028153,0.008385,-0.028247,-0.007632,0.015736,-0.010852,-0.003441,0.012079,-0.012994,0.008996,-0.013049,0.013073,-0.005628,-0.000499,0.008408,-0.007272,-0.004338,-0.001317
Adygea_EBA_Maykop_Late_(n=3),0.10206133,0.12829533,-0.061973333,-0.041128667,-0.049958,-0.010597667,0.010575333,-0.0076916667,-0.063266,-0.020167667,0.0047093333,0.010490667,-0.023042333,-0.000091666667,0.0019,-0.010297667,0.018688667,-0.0056586667,-0.011396667,0.019843,0.0088593333,0.000371,0.002177,-0.014339,-0.0073446667
Adygea_EBA_Maykop_Novosvobodnaya_Klady_(n=4),0.1058555,0.133542,-0.0718415,-0.034884,-0.048932,-0.0026495,0.01310175,-0.00755725,-0.064783,-0.0246475,0.004222,0.009217,-0.0237855,0.0047135,0.00777025,-0.01882775,0.008866,-0.00231225,-0.011407,0.008848,0.0117605,-0.0029985,0.00286575,-0.00849525,0.00446075
Adygea_EBA_Maykop_Novosvobodnaya_Tsarskaya_(n=1),0.105855,0.113739,-0.019987,0.010013,-0.045239,0.009482,0.003055,-0.010153,-0.05563,-0.04811,0.001299,0.004346,-0.003568,-0.013349,0.011808,-0.000928,-0.000913,-0.005194,-0.005028,0.002751,0.001123,0.003957,0.000616,0.000843,-0.002155
Adygea_Eneolithic_Darkveti-Meshoko_Unakozovskaya_(n=4),0.1032945,0.12617925,-0.0609995,-0.03609525,-0.05185575,0.004602,0.0205635,-0.00299975,-0.078946,-0.03808725,0.0053995,0.00828025,-0.027205,0.0008945,0.004886,-0.0169715,0.0180255,-0.00978675,-0.01627775,0.019384,0.0204015,-0.00395675,-0.0059465,-0.015906,-0.00679575
Adygea_LBA_Dolmen_Shushuk_(n=4),0.09248125,0.116278,-0.02790675,0.0062985,-0.0287745,0.0114345,0.00123375,-0.00582625,-0.051131,-0.0357635,-0.0036945,0.00816775,-0.017059,-0.00595225,0.01296125,-0.0080215,0.0039115,-0.0051625,-0.00267125,0.013788,0.01166675,0.00670825,0.003913,-0.003404,-0.001377
Adygea_LBA_Dolmen_Shushuk_o_(n=1),0.080814,0.121864,-0.060339,-0.021964,-0.030159,0.001394,0.00235,0.003692,-0.048677,-0.030251,0.003897,0.011989,-0.026313,0.009909,0.011536,-0.02612,-0.010561,-0.000127,-0.015964,0.007128,0.013476,-0.004081,-0.007272,-0.011086,0.010897
Afghanistan_MBA_Darra-i-Kur_(low_res)_(n=1),0.094473,0.064994,-0.101445,0.070737,-0.086478,0.04769,-0.028436,0.025153,-0.035792,-0.054489,-0.009581,-0.012889,0.014271,-0.018992,0.029451,0.034871,0.020861,-0.006841,-0.006788,-0.022261,-0.021337,-0.01422,0.007148,-0.017593,0.009221
Albania_Early_Medieval_Kenete_(n=1),0.111547,0.15436,0.013953,-0.033592,0.016003,-0.001673,-0.001645,-0.001385,-0.001227,0.016037,0.006008,0.005845,-0.005946,0.00234,-0.013436,-0.013259,0.015255,-0.007728,0.009302,-0.012381,-0.015348,0.006801,-0.005669,-0.00735,-0.005389
Albania_Early_Medieval_Shtike_(n=1),0.120652,0.151314,0.013953,-0.037468,0.030159,-0.012271,-0.001175,-0.001615,0.006136,0.025149,-0.004222,0.003897,-0.015609,0.002202,-0.019815,-0.007425,0.008605,0.006461,0.00817,-0.014257,-0.007112,0.002968,0.006039,-0.003735,-0.000599
Albania_Early_Modern_Barc_Roma_(n=4),0.08963575,0.0665175,-0.061942,0.01316225,-0.014772,0.011365,0.0024675,0.00374975,0.01283375,0.0177225,0.0034505,0.000337,0.0014865,0.0074315,-0.0153705,-0.011303,0.0040095,0.00082325,0.00263975,-0.00331425,0.00177825,0.0048225,0.0022185,0.00382575,0.000389
Albania_Early_Modern_Bardhoc_(n=4),0.12207525,0.1518215,0.01329375,-0.02365975,0.027928,-0.00836675,0.0017625,0.00207675,0.0017385,0.02132175,0.00215175,0.0049085,-0.01148425,0.00350925,-0.022428,0.00152475,0.02219775,0.00148875,0.007102,-0.00603425,-0.0141625,0.00550275,0.002095,0.003615,-0.00637675
Albania_Early_Modern_Pazhok_(n=1),0.1161,0.144205,0.018856,-0.013566,0.022773,-0.006693,-0.003995,0.002769,0.004909,0.005832,0.003248,0.001349,-0.001784,0.009634,-0.014794,-0.001458,-0.000652,0.00152,0.000377,-0.003001,-0.006239,-0.002968,0.001725,-0.004579,-0.001078
Albania_EBA_(n=1),0.121791,0.117801,0.034695,0.045866,-0.006463,0.014781,0.009165,-0.000923,-0.027815,-0.01549,-0.003085,0,-0.008771,0.005367,0.013572,-0.011933,-0.012778,0.004181,0.006536,-0.01013,-0.003743,-0.005935,0.017008,0.013014,-0.011496
